minRange, maRange, count,
-1.7976931348623157E308, 5.0, 927, 
5.0, 6.0, 194, 
6.0, 7.0, 164, 
7.0, 8.0, 172, 
8.0, 9.0, 164, 
9.0, 10.0, 173, 
10.0, 11.0, 155, 
11.0, 12.0, 143, 
12.0, 13.0, 171, 
13.0, 14.0, 128, 
14.0, 15.0, 125, 
15.0, 16.0, 139, 
16.0, 17.0, 145, 
17.0, 18.0, 167, 
18.0, 19.0, 161, 
19.0, 20.0, 150, 
20.0, 21.0, 118, 
21.0, 22.0, 115, 
22.0, 23.0, 125, 
23.0, 24.0, 127, 
24.0, 25.0, 102, 
25.0, 26.0, 83, 
26.0, 27.0, 93, 
27.0, 28.0, 124, 
28.0, 29.0, 119, 
29.0, 30.0, 146, 
30.0, 31.0, 141, 
31.0, 32.0, 131, 
32.0, 33.0, 112, 
33.0, 34.0, 112, 
34.0, 35.0, 107, 
35.0, 36.0, 109, 
36.0, 37.0, 124, 
37.0, 38.0, 120, 
38.0, 39.0, 153, 
39.0, 40.0, 128, 
40.0, 41.0, 139, 
41.0, 42.0, 114, 
42.0, 43.0, 107, 
43.0, 44.0, 124, 
44.0, 45.0, 127, 
45.0, 46.0, 117, 
46.0, 47.0, 107, 
47.0, 48.0, 73, 
48.0, 49.0, 89, 
49.0, 50.0, 71, 
50.0, 51.0, 94, 
51.0, 52.0, 82, 
52.0, 53.0, 92, 
53.0, 54.0, 85, 
54.0, 55.0, 104, 
55.0, 56.0, 120, 
56.0, 57.0, 126, 
57.0, 58.0, 120, 
58.0, 59.0, 127, 
59.0, 60.0, 113, 
60.0, 61.0, 119, 
61.0, 62.0, 98, 
62.0, 63.0, 118, 
63.0, 64.0, 92, 
64.0, 65.0, 68, 
65.0, 66.0, 70, 
66.0, 67.0, 69, 
67.0, 68.0, 76, 
68.0, 69.0, 89, 
69.0, 70.0, 99, 
70.0, 71.0, 103, 
71.0, 72.0, 129, 
72.0, 73.0, 122, 
73.0, 74.0, 113, 
74.0, 75.0, 110, 
75.0, 76.0, 123, 
76.0, 77.0, 148, 
77.0, 78.0, 125, 
78.0, 79.0, 140, 
79.0, 80.0, 134, 
80.0, 81.0, 138, 
81.0, 82.0, 147, 
82.0, 83.0, 174, 
83.0, 84.0, 172, 
84.0, 85.0, 178, 
85.0, 86.0, 134, 
86.0, 87.0, 141, 
87.0, 88.0, 120, 
88.0, 89.0, 126, 
89.0, 90.0, 163, 
90.0, 91.0, 151, 
91.0, 92.0, 143, 
92.0, 93.0, 138, 
93.0, 94.0, 149, 
94.0, 95.0, 170, 
95.0, 1.7976931348623157E308, 825, 
