minRange, maRange, count,
-1.7976931348623157E308, 5.0, 1719, 
5.0, 6.0, 301, 
6.0, 7.0, 312, 
7.0, 8.0, 271, 
8.0, 9.0, 288, 
9.0, 10.0, 334, 
10.0, 11.0, 285, 
11.0, 12.0, 265, 
12.0, 13.0, 269, 
13.0, 14.0, 255, 
14.0, 15.0, 261, 
15.0, 16.0, 244, 
16.0, 17.0, 239, 
17.0, 18.0, 297, 
18.0, 19.0, 226, 
19.0, 20.0, 214, 
20.0, 21.0, 212, 
21.0, 22.0, 224, 
22.0, 23.0, 178, 
23.0, 24.0, 183, 
24.0, 25.0, 145, 
25.0, 26.0, 186, 
26.0, 27.0, 200, 
27.0, 28.0, 206, 
28.0, 29.0, 217, 
29.0, 30.0, 241, 
30.0, 31.0, 186, 
31.0, 32.0, 174, 
32.0, 33.0, 177, 
33.0, 34.0, 187, 
34.0, 35.0, 182, 
35.0, 36.0, 176, 
36.0, 37.0, 187, 
37.0, 38.0, 204, 
38.0, 39.0, 162, 
39.0, 40.0, 176, 
40.0, 41.0, 189, 
41.0, 42.0, 204, 
42.0, 43.0, 208, 
43.0, 44.0, 216, 
44.0, 45.0, 223, 
45.0, 46.0, 241, 
46.0, 47.0, 247, 
47.0, 48.0, 277, 
48.0, 49.0, 318, 
49.0, 50.0, 310, 
50.0, 51.0, 304, 
51.0, 52.0, 323, 
52.0, 53.0, 344, 
53.0, 54.0, 373, 
54.0, 55.0, 317, 
55.0, 56.0, 315, 
56.0, 57.0, 351, 
57.0, 58.0, 375, 
58.0, 59.0, 390, 
59.0, 60.0, 428, 
60.0, 61.0, 444, 
61.0, 62.0, 480, 
62.0, 63.0, 499, 
63.0, 64.0, 480, 
64.0, 65.0, 554, 
65.0, 66.0, 605, 
66.0, 67.0, 592, 
67.0, 68.0, 612, 
68.0, 69.0, 635, 
69.0, 70.0, 632, 
70.0, 71.0, 668, 
71.0, 72.0, 747, 
72.0, 73.0, 774, 
73.0, 74.0, 1011, 
74.0, 75.0, 954, 
75.0, 76.0, 984, 
76.0, 77.0, 1056, 
77.0, 78.0, 1102, 
78.0, 79.0, 1184, 
79.0, 80.0, 1229, 
80.0, 81.0, 1188, 
81.0, 82.0, 1189, 
82.0, 83.0, 1111, 
83.0, 84.0, 1162, 
84.0, 85.0, 1319, 
85.0, 86.0, 1448, 
86.0, 87.0, 1572, 
87.0, 88.0, 1615, 
88.0, 89.0, 1727, 
89.0, 90.0, 1682, 
90.0, 91.0, 1599, 
91.0, 92.0, 1397, 
92.0, 93.0, 1273, 
93.0, 94.0, 1050, 
94.0, 95.0, 719, 
95.0, 1.7976931348623157E308, 2305, 
