Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
5, 1, FR, 7.0, 127.0, 134.0, 
36, 1, FR, 4.0, 434.0, 438.0, 
53, 1, FR, 5.0, 852.0, 857.0, 
55, 1, FR, 4.0, 876.0, 880.0, 
60, -1, BR, 7.0, 1447.0, 1454.0, 
60, -1, BR, 170.0, 1274.0, 1444.0, 
60, -1, BR, 85.0, 1175.0, 1260.0, 
60, -1, BR, 76.0, 1093.0, 1169.0, 
60, -1, BR, 91.0, 1000.0, 1091.0, 
76, 1, FR, 11.0, 1243.0, 1254.0, 
87, 1, FR, 11.0, 1367.0, 1378.0, 
134, 1, FR, 9.0, 1961.0, 1970.0, 
143, -1, BR, 3.0, 2179.0, 2182.0, 
198, -1, BR, 13.0, 3132.0, 3145.0, 
198, -1, BR, 8.0, 3122.0, 3130.0, 
198, -1, BR, 2.0, 3118.0, 3120.0, 
233, -1, BR, 2.0, 3893.0, 3895.0, 
390, -1, BR, 190.0, 7904.0, 8094.0, 
390, -1, BR, 171.0, 7726.0, 7897.0, 
390, -1, BR, 80.0, 7643.0, 7723.0, 
448, -1, BR, 3.0, 8916.0, 8919.0, 
448, -1, BR, 7.0, 8892.0, 8899.0, 
448, -1, BR, 63.0, 8827.0, 8890.0, 
459, -1, BR, 20.0, 9047.0, 9067.0, 
459, -1, BR, 18.0, 9027.0, 9045.0, 
459, -1, BR, 46.0, 8975.0, 9021.0, 
462, -1, BR, 4.0, 9046.0, 9050.0, 
464, -1, BR, 38.0, 9058.0, 9096.0, 
465, -1, BR, 13.0, 9131.0, 9144.0, 
465, -1, BR, 26.0, 9103.0, 9129.0, 
467, 1, FR, 12.0, 9142.0, 9154.0, 
478, 1, FR, 6.0, 9352.0, 9358.0, 
536, 1, FR, 21.0, 10385.0, 10406.0, 
587, -1, BR, 21.0, 11086.0, 11107.0, 
587, -1, BR, 3.0, 11081.0, 11084.0, 
587, -1, BR, 5.0, 11074.0, 11079.0, 
594, -1, BR, 321.0, 11225.0, 11546.0, 
594, -1, BR, 18.0, 11205.0, 11223.0, 
594, -1, BR, 41.0, 11160.0, 11201.0, 
612, -1, BR, 2.0, 11326.0, 11328.0, 
636, -1, BR, 234.0, 11880.0, 12114.0, 
636, -1, BR, 10.0, 11865.0, 11875.0, 
636, -1, BR, 22.0, 11830.0, 11852.0, 
636, -1, BR, 2.0, 11826.0, 11828.0, 
648, -1, BR, 3.0, 11998.0, 12001.0, 
648, -1, BR, 13.0, 11983.0, 11996.0, 
648, -1, BR, 12.0, 11968.0, 11980.0, 
687, 1, FR, 7.0, 13102.0, 13109.0, 
705, 1, FR, 8.0, 13395.0, 13403.0, 
763, 1, FR, 41.0, 14408.0, 14449.0, 
763, 1, FR, 5.0, 14398.0, 14403.0, 
765, -1, BR, 241.0, 14461.0, 14702.0, 
765, -1, BR, 41.0, 14418.0, 14459.0, 
768, -1, BR, 14.0, 14558.0, 14572.0, 
799, 1, FR, 81.0, 15021.0, 15102.0, 
819, 1, FR, 3.0, 15339.0, 15342.0, 
866, 1, FR, 49.0, 16357.0, 16406.0, 
896, 1, FR, 4.0, 16693.0, 16697.0, 
904, -1, BR, 4.0, 16824.0, 16828.0, 
904, -1, BR, 64.0, 16758.0, 16822.0, 
904, -1, BR, 27.0, 16728.0, 16755.0, 
944, -2, BT, 371.0, 17697.0, 18068.0, 
944, -1, BR, 144.0, 17551.0, 17695.0, 
944, -1, BR, 12.0, 17524.0, 17536.0, 
974, 1, FR, 24.0, 17913.0, 17937.0, 
978, -1, BR, 7.0, 18413.0, 18420.0, 
978, -1, BR, 101.0, 18305.0, 18406.0, 
978, -1, BR, 12.0, 18291.0, 18303.0, 
978, -1, BR, 244.0, 18045.0, 18289.0, 
978, -1, BR, 51.0, 17989.0, 18040.0, 
979, 1, FR, 11.0, 17994.0, 18005.0, 
1001, -1, BR, 19.0, 19659.0, 19678.0, 
1001, -1, BR, 44.0, 19613.0, 19657.0, 
1001, -1, BR, 89.0, 19521.0, 19610.0, 
1001, -1, BR, 18.0, 19497.0, 19515.0, 
1001, -1, BR, 996.0, 18497.0, 19493.0, 
1107, -2, BT, 1089.0, 20670.0, 21759.0, 
1107, -1, BR, 9.0, 20657.0, 20666.0, 
1107, -1, BR, 2.0, 20652.0, 20654.0, 
1123, -1, BR, 30.0, 20822.0, 20852.0, 
1128, -1, BR, 74.0, 20872.0, 20946.0, 
1149, -1, BR, 25.0, 21167.0, 21192.0, 
1149, -1, BR, 21.0, 21142.0, 21163.0, 
1182, -1, BR, 13.0, 21427.0, 21440.0, 
1183, -1, BR, 24.0, 21633.0, 21657.0, 
1183, -1, BR, 178.0, 21442.0, 21620.0, 
1261, -1, BR, 52.0, 23894.0, 23946.0, 
1261, -1, BR, 61.0, 23825.0, 23886.0, 
1261, -1, BR, 60.0, 23763.0, 23823.0, 
1261, -1, BR, 148.0, 23612.0, 23760.0, 
1266, -1, BR, 2.0, 23749.0, 23751.0, 
1266, -1, BR, 13.0, 23734.0, 23747.0, 
1323, -1, BR, 4.0, 24809.0, 24813.0, 
1323, -1, BR, 40.0, 24767.0, 24807.0, 
1412, 1, FR, 15.0, 26630.0, 26645.0, 
1412, 1, FR, 39.0, 26581.0, 26620.0, 
1412, 1, FR, 21.0, 26558.0, 26579.0, 
1453, -1, BR, 12.0, 27272.0, 27284.0, 
1454, -1, BR, 32.0, 27286.0, 27318.0, 
1455, -1, BR, 292.0, 27320.0, 27612.0, 
1472, 1, FR, 19.0, 27531.0, 27550.0, 
1483, -1, BR, 4.0, 27628.0, 27632.0, 
1484, -1, BR, 3.0, 27650.0, 27653.0, 
1484, -1, BR, 6.0, 27642.0, 27648.0, 
1534, -1, BR, 116.0, 29067.0, 29183.0, 
1534, -1, BR, 18.0, 29046.0, 29064.0, 
1534, -1, BR, 4.0, 29036.0, 29040.0, 
1534, -1, BR, 162.0, 28871.0, 29033.0, 
1534, -1, BR, 270.0, 28598.0, 28868.0, 
1534, -1, BR, 19.0, 28577.0, 28596.0, 
1534, -1, BR, 2.0, 28569.0, 28571.0, 
1534, -1, BR, 257.0, 28309.0, 28566.0, 
1565, 1, FR, 249.0, 29009.0, 29258.0, 
1600, 1, FR, 3.0, 30217.0, 30220.0, 
1600, -2, BT, 654.0, 29559.0, 30213.0, 
1628, -1, BR, 85.0, 30338.0, 30423.0, 
1628, -1, BR, 4.0, 30324.0, 30328.0, 
1635, -1, BR, 53.0, 30625.0, 30678.0, 
1635, -1, BR, 7.0, 30614.0, 30621.0, 
1635, -1, BR, 9.0, 30602.0, 30611.0, 
1635, -1, BR, 151.0, 30448.0, 30599.0, 
1640, 1, FR, 2.0, 30497.0, 30499.0, 
1690, 1, FR, 6.0, 31555.0, 31561.0, 
1795, -1, BR, 200.0, 33966.0, 34166.0, 
1795, -1, BR, 5.0, 33953.0, 33958.0, 
1795, -1, BR, 285.0, 33665.0, 33950.0, 
1795, -1, BR, 16.0, 33647.0, 33663.0, 
1823, 1, FR, 10.0, 33890.0, 33900.0, 
1834, -1, BR, 36.0, 34262.0, 34298.0, 
1834, -1, BR, 28.0, 34227.0, 34255.0, 
1834, -1, BR, 2.0, 34222.0, 34224.0, 
1834, -1, BR, 5.0, 34214.0, 34219.0, 
1845, -2, BT, 486.0, 34321.0, 34807.0, 
1845, -1, BR, 10.0, 34309.0, 34319.0, 
1847, 1, FR, 3.0, 34376.0, 34379.0, 
1916, -1, BR, 112.0, 35669.0, 35781.0, 
1929, -1, BR, 707.0, 35991.0, 36698.0, 
1929, -1, BR, 47.0, 35942.0, 35989.0, 
1944, 1, FR, 7.0, 36213.0, 36220.0, 
1956, -1, BR, 6.0, 36370.0, 36376.0, 
1970, 1, FR, 9.0, 36607.0, 36616.0, 
1985, 1, FR, 209.0, 36888.0, 37097.0, 
1985, 1, FR, 8.0, 36868.0, 36876.0, 
1993, 1, FR, 2.0, 37106.0, 37108.0, 
1996, 1, FR, 84.0, 37179.0, 37263.0, 
2016, 1, FR, 31.0, 37855.0, 37886.0, 
2016, 1, FR, 5.0, 37845.0, 37850.0, 
2117, -1, BR, 13.0, 39852.0, 39865.0, 
2128, -1, BR, 41.0, 40298.0, 40339.0, 
2163, 1, FR, 6.0, 41558.0, 41564.0, 
2163, 1, FR, 180.0, 41376.0, 41556.0, 
2163, 1, FR, 121.0, 41253.0, 41374.0, 
2177, -1, BR, 266.0, 41646.0, 41912.0, 
2178, -1, BR, 35.0, 41694.0, 41729.0, 
2183, -1, BR, 54.0, 42074.0, 42128.0, 
2183, -1, BR, 56.0, 42015.0, 42071.0, 
2184, -1, BR, 14.0, 42087.0, 42101.0, 
2214, -1, BR, 113.0, 42857.0, 42970.0, 
2214, -1, BR, 5.0, 42849.0, 42854.0, 
2233, -1, BR, 243.0, 43312.0, 43555.0, 
2233, -1, BR, 25.0, 43283.0, 43308.0, 
2233, -1, BR, 125.0, 43131.0, 43256.0, 
2239, 1, FR, 2.0, 43210.0, 43212.0, 
2239, 1, FR, 6.0, 43202.0, 43208.0, 
2245, 1, FR, 23.0, 43329.0, 43352.0, 
2262, 1, FR, 22.0, 43646.0, 43668.0, 
2262, 1, FR, 54.0, 43590.0, 43644.0, 
2328, 1, FR, 407.0, 44846.0, 45253.0, 
2328, 1, FR, 14.0, 44830.0, 44844.0, 
2390, 1, FR, 19.0, 46370.0, 46389.0, 
2430, 1, FR, 2.0, 46955.0, 46957.0, 
2430, 1, FR, 6.0, 46946.0, 46952.0, 
2435, -1, BR, 2.0, 47288.0, 47290.0, 
2435, -1, BR, 14.0, 47267.0, 47281.0, 
2439, -1, BR, 120.0, 47319.0, 47439.0, 
2460, 1, FR, 3.0, 47566.0, 47569.0, 
2500, 1, FR, 2.0, 48388.0, 48390.0, 
2520, 1, FR, 6.0, 48794.0, 48800.0, 
2585, 1, FR, 48.0, 50200.0, 50248.0, 
2588, 1, FR, 2.0, 50401.0, 50403.0, 
2588, 1, FR, 16.0, 50381.0, 50397.0, 
2588, 1, FR, 8.0, 50370.0, 50378.0, 
2588, 1, FR, 88.0, 50279.0, 50367.0, 
2606, 1, FR, 22.0, 50460.0, 50482.0, 
2612, -1, BR, 36.0, 51623.0, 51659.0, 
2612, -1, BR, 10.0, 51611.0, 51621.0, 
2612, -1, BR, 903.0, 50705.0, 51608.0, 
2669, 1, FR, 6.0, 51670.0, 51676.0, 
2771, -1, BR, 15.0, 53758.0, 53773.0, 
2771, -1, BR, 22.0, 53727.0, 53749.0, 
2771, -1, BR, 6.0, 53712.0, 53718.0, 
2771, -1, BR, 159.0, 53547.0, 53706.0, 
2775, 1, FR, 4.0, 53586.0, 53590.0, 
2789, -1, BR, 2.0, 54006.0, 54008.0, 
2789, -1, BR, 18.0, 53986.0, 54004.0, 
2789, -1, BR, 4.0, 53980.0, 53984.0, 
2789, -1, BR, 24.0, 53954.0, 53978.0, 
2789, -1, BR, 11.0, 53941.0, 53952.0, 
2789, -1, BR, 45.0, 53892.0, 53937.0, 
2789, -1, BR, 25.0, 53862.0, 53887.0, 
2791, -1, BR, 5.0, 53936.0, 53941.0, 
2792, -1, BR, 37.0, 53944.0, 53981.0, 
2794, -1, BR, 46.0, 53983.0, 54029.0, 
2796, -1, BR, 22.0, 54831.0, 54853.0, 
2796, -1, BR, 106.0, 54720.0, 54826.0, 
2796, -1, BR, 470.0, 54248.0, 54718.0, 
2796, -1, BR, 221.0, 54022.0, 54243.0, 
2906, -1, BR, 15.0, 56222.0, 56237.0, 
2906, -1, BR, 5.0, 56215.0, 56220.0, 
2906, -1, BR, 315.0, 55898.0, 56213.0, 
2906, -1, BR, 4.0, 55892.0, 55896.0, 
2906, -1, BR, 6.0, 55884.0, 55890.0, 
2918, -1, BR, 9.0, 56590.0, 56599.0, 
2918, -1, BR, 13.0, 56573.0, 56586.0, 
2923, 1, FR, 46.0, 56650.0, 56696.0, 
2946, -1, BR, 11.0, 57328.0, 57339.0, 
2948, -1, BR, 11.0, 57636.0, 57647.0, 
2948, -1, BR, 119.0, 57514.0, 57633.0, 
2948, -1, BR, 3.0, 57507.0, 57510.0, 
2948, -1, BR, 117.0, 57374.0, 57491.0, 
2955, 1, FR, 4.0, 57692.0, 57696.0, 
2957, 1, FR, 9.0, 57732.0, 57741.0, 
2959, 1, FR, 2.0, 57848.0, 57850.0, 
3003, -1, BR, 3.0, 59181.0, 59184.0, 
3003, -1, BR, 275.0, 58904.0, 59179.0, 
3014, 1, FR, 2.0, 59127.0, 59129.0, 
3048, -1, BR, 273.0, 59705.0, 59978.0, 
3048, -1, BR, 31.0, 59672.0, 59703.0, 
3059, 1, FR, 9.0, 60016.0, 60025.0, 
3059, 1, FR, 197.0, 59811.0, 60008.0, 
3071, -1, BR, 77.0, 60168.0, 60245.0, 
3072, 1, FR, 21.0, 60183.0, 60204.0, 
3187, -1, BR, 74.0, 60500.0, 60574.0, 
3214, 1, FR, 5.0, 60972.0, 60977.0, 
3229, -1, BR, 143.0, 61267.0, 61410.0, 
3236, -1, BR, 18.0, 61354.0, 61372.0, 
3236, -1, BR, 10.0, 61340.0, 61350.0, 
3242, -1, BR, 4.0, 61374.0, 61378.0, 
3244, -1, BR, 324.0, 61444.0, 61768.0, 
3244, -1, BR, 5.0, 61433.0, 61438.0, 
3244, -1, BR, 2.0, 61429.0, 61431.0, 
3244, -1, BR, 6.0, 61421.0, 61427.0, 
3258, 1, FR, 3.0, 61640.0, 61643.0, 
3277, -1, BR, 16.0, 62470.0, 62486.0, 
3277, -1, BR, 29.0, 62439.0, 62468.0, 
3277, -1, BR, 278.0, 62159.0, 62437.0, 
3277, -1, BR, 37.0, 62115.0, 62152.0, 
3315, 1, FR, 2.0, 63101.0, 63103.0, 
3323, 1, FR, 12.0, 63175.0, 63187.0, 
3329, -1, BR, 76.0, 63356.0, 63432.0, 
3329, -1, BR, 2.0, 63350.0, 63352.0, 
3329, -1, BR, 12.0, 63310.0, 63322.0, 
3329, -1, BR, 15.0, 63293.0, 63308.0, 
3405, -1, BR, 26.0, 64635.0, 64661.0, 
3406, -1, BR, 4.0, 64686.0, 64690.0, 
3406, -1, BR, 11.0, 64673.0, 64684.0, 
3442, 1, FR, 4.0, 65649.0, 65653.0, 
3561, -2, BT, 209.0, 67622.0, 67831.0, 
3573, -2, BT, 275.0, 67768.0, 68043.0, 
3655, -1, BR, 5.0, 69194.0, 69199.0, 
3655, -1, BR, 8.0, 69184.0, 69192.0, 
3655, -1, BR, 73.0, 69109.0, 69182.0, 
3668, 1, FR, 5.0, 69370.0, 69375.0, 
3668, 1, FR, 7.0, 69360.0, 69367.0, 
3702, -1, BR, 13.0, 69700.0, 69713.0, 
3796, -1, BR, 37.0, 71174.0, 71211.0, 
3842, 1, FR, 5.0, 72235.0, 72240.0, 
3894, 1, FR, 111.0, 73442.0, 73553.0, 
3917, 1, FR, 23.0, 73750.0, 73773.0, 
3925, -1, BR, 115.0, 74130.0, 74245.0, 
3925, -1, BR, 2.0, 74124.0, 74126.0, 
3925, -1, BR, 45.0, 74074.0, 74119.0, 
3925, -1, BR, 206.0, 73866.0, 74072.0, 
3925, -1, BR, 32.0, 73826.0, 73858.0, 
3930, -1, BR, 126.0, 73902.0, 74028.0, 
3935, -1, BR, 706.0, 74045.0, 74751.0, 
3997, -1, BR, 172.0, 75518.0, 75690.0, 
3997, -1, BR, 49.0, 75467.0, 75516.0, 
