Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
37, 1, FR, 2.0, 5254.0, 5256.0, 
45, -1, BR, 12.0, 6370.0, 6382.0, 
55, 1, FR, 3.0, 7313.0, 7316.0, 
74, -1, BR, 2.0, 9875.0, 9877.0, 
74, -1, BR, 10.0, 9851.0, 9861.0, 
74, -1, BR, 5.0, 9836.0, 9841.0, 
74, -1, BR, 27.0, 9807.0, 9834.0, 
84, -1, BR, 26.0, 10936.0, 10962.0, 
84, -1, BR, 25.0, 10903.0, 10928.0, 
86, -1, BR, 123.0, 10998.0, 11121.0, 
89, 1, FR, 4.0, 11183.0, 11187.0, 
89, 1, FR, 10.0, 11167.0, 11177.0, 
113, -1, BR, 2.0, 13811.0, 13813.0, 
115, 1, FR, 2.0, 14115.0, 14117.0, 
131, 1, FR, 42.0, 17573.0, 17615.0, 
131, -2, BT, 411.0, 17160.0, 17571.0, 
157, 1, FR, 2.0, 19165.0, 19167.0, 
157, 1, FR, 36.0, 19127.0, 19163.0, 
157, 1, FR, 3.0, 19116.0, 19119.0, 
157, 1, FR, 10.0, 19099.0, 19109.0, 
157, 1, FR, 9.0, 19086.0, 19095.0, 
162, -1, BR, 12.0, 19670.0, 19682.0, 
175, -1, BR, 23.0, 20158.0, 20181.0, 
194, 1, FR, 8.0, 20988.0, 20996.0, 
213, 1, FR, 13.0, 23174.0, 23187.0, 
213, 1, FR, 21.0, 23151.0, 23172.0, 
236, -1, BR, 2.0, 23725.0, 23727.0, 
249, 1, FR, 139.0, 26000.0, 26139.0, 
276, -1, BR, 5.0, 27898.0, 27903.0, 
280, 1, FR, 3.0, 27989.0, 27992.0, 
342, -1, BR, 3.0, 34557.0, 34560.0, 
356, -1, BR, 8.0, 35648.0, 35656.0, 
356, -1, BR, 833.0, 34802.0, 35635.0, 
358, 1, FR, 3.0, 34818.0, 34821.0, 
360, -1, BR, 13.0, 34834.0, 34847.0, 
368, -1, BR, 4.0, 35677.0, 35681.0, 
373, -1, BR, 5.0, 35823.0, 35828.0, 
379, 1, FR, 5.0, 36866.0, 36871.0, 
379, 1, FR, 5.0, 36859.0, 36864.0, 
392, 1, FR, 11.0, 39455.0, 39466.0, 
392, 1, FR, 7.0, 39444.0, 39451.0, 
393, -1, BR, 8.0, 39490.0, 39498.0, 
393, -1, BR, 8.0, 39473.0, 39481.0, 
398, 1, FR, 93.0, 39923.0, 40016.0, 
398, 1, FR, 32.0, 39889.0, 39921.0, 
398, 1, FR, 2.0, 39885.0, 39887.0, 
412, 1, FR, 3.0, 41415.0, 41418.0, 
427, -1, BR, 4.0, 42842.0, 42846.0, 
443, -1, BR, 177.0, 46912.0, 47089.0, 
444, -1, BR, 35.0, 47132.0, 47167.0, 
453, -1, BR, 18.0, 48930.0, 48948.0, 
460, -1, BR, 3.0, 49121.0, 49124.0, 
460, -1, BR, 3.0, 49114.0, 49117.0, 
462, -1, BR, 7.0, 49265.0, 49272.0, 
466, 1, FR, 7.0, 49457.0, 49464.0, 
466, 1, FR, 7.0, 49448.0, 49455.0, 
469, 1, FR, 255.0, 49497.0, 49752.0, 
472, 1, FR, 141.0, 49778.0, 49919.0, 
472, 1, FR, 3.0, 49771.0, 49774.0, 
480, 1, FR, 455.0, 50464.0, 50919.0, 
486, -2, BT, 707.0, 50921.0, 51628.0, 
492, -1, BR, 3.0, 51597.0, 51600.0, 
501, -1, BR, 157.0, 51998.0, 52155.0, 
501, -1, BR, 2.0, 51991.0, 51993.0, 
503, -1, BR, 8.0, 52014.0, 52022.0, 
506, -1, BR, 5.0, 52176.0, 52181.0, 
506, -1, BR, 3.0, 52168.0, 52171.0, 
525, 1, FR, 9.0, 55243.0, 55252.0, 
531, 1, FR, 11.0, 55401.0, 55412.0, 
533, 1, FR, 393.0, 56143.0, 56536.0, 
557, 1, FR, 2.0, 58979.0, 58981.0, 
557, 1, FR, 93.0, 58878.0, 58971.0, 
557, 1, FR, 4.0, 58872.0, 58876.0, 
557, 1, FR, 8.0, 58844.0, 58852.0, 
573, 1, FR, 14.0, 59448.0, 59462.0, 
581, 1, FR, 7.0, 60154.0, 60161.0, 
591, 1, FR, 4.0, 61109.0, 61113.0, 
591, 1, FR, 19.0, 61088.0, 61107.0, 
603, 1, FR, 5.0, 62625.0, 62630.0, 
610, -1, BR, 4.0, 63290.0, 63294.0, 
612, -2, BT, 916.0, 63363.0, 64279.0, 
617, 1, FR, 2.0, 64299.0, 64301.0, 
617, 1, FR, 8.0, 64289.0, 64297.0, 
628, 1, FR, 7.0, 66480.0, 66487.0, 
638, -1, BR, 5.0, 67419.0, 67424.0, 
658, 1, FR, 13.0, 69632.0, 69645.0, 
658, 1, FR, 2.0, 69619.0, 69621.0, 
658, 1, FR, 261.0, 69356.0, 69617.0, 
658, 1, FR, 7.0, 69346.0, 69353.0, 
658, 1, FR, 39.0, 69303.0, 69342.0, 
658, 1, FR, 6.0, 69243.0, 69249.0, 
670, 1, FR, 48.0, 70511.0, 70559.0, 
670, 1, FR, 6.0, 70501.0, 70507.0, 
670, 1, FR, 3.0, 70490.0, 70493.0, 
670, 1, FR, 11.0, 70475.0, 70486.0, 
672, -1, BR, 3.0, 70718.0, 70721.0, 
677, 1, FR, 3.0, 70779.0, 70782.0, 
677, 1, FR, 2.0, 70774.0, 70776.0, 
677, 1, FR, 14.0, 70757.0, 70771.0, 
679, 1, FR, 29.0, 70832.0, 70861.0, 
679, 1, FR, 25.0, 70803.0, 70828.0, 
679, 1, FR, 2.0, 70799.0, 70801.0, 
681, -1, BR, 3.0, 70880.0, 70883.0, 
681, -1, BR, 11.0, 70866.0, 70877.0, 
691, 1, FR, 7.0, 72004.0, 72011.0, 
694, 1, FR, 94.0, 72295.0, 72389.0, 
695, -1, BR, 86.0, 72478.0, 72564.0, 
719, 1, FR, 31.0, 73380.0, 73411.0, 
726, 1, FR, 18.0, 73697.0, 73715.0, 
728, 1, FR, 24.0, 73731.0, 73755.0, 
728, 1, FR, 6.0, 73723.0, 73729.0, 
769, -2, BT, 410.0, 78016.0, 78426.0, 
769, -1, BR, 17.0, 77997.0, 78014.0, 
769, 2, FT, 403.0, 77592.0, 77995.0, 
778, -1, BR, 21.0, 77751.0, 77772.0, 
810, -1, BR, 6.0, 81187.0, 81193.0, 
810, -1, BR, 2.0, 81180.0, 81182.0, 
828, -1, BR, 149.0, 82225.0, 82374.0, 
829, 1, FR, 4.0, 82273.0, 82277.0, 
829, 1, FR, 2.0, 82256.0, 82258.0, 
829, 1, FR, 2.0, 82251.0, 82253.0, 
843, -1, BR, 4.0, 83139.0, 83143.0, 
854, 1, FR, 6.0, 84160.0, 84166.0, 
855, 1, FR, 63.0, 84424.0, 84487.0, 
859, -1, BR, 5.0, 84938.0, 84943.0, 
872, 2, FT, 392.0, 85606.0, 85998.0, 
876, -1, BR, 4.0, 86291.0, 86295.0, 
876, -1, BR, 54.0, 86231.0, 86285.0, 
877, -1, BR, 6.0, 86253.0, 86259.0, 
887, -1, BR, 4.0, 86495.0, 86499.0, 
892, -1, BR, 11.0, 87141.0, 87152.0, 
892, -1, BR, 5.0, 87134.0, 87139.0, 
892, -1, BR, 3.0, 87127.0, 87130.0, 
913, -1, BR, 9.0, 89251.0, 89260.0, 
924, -2, BT, 331.0, 90408.0, 90739.0, 
929, -1, BR, 5.0, 91328.0, 91333.0, 
929, -1, BR, 5.0, 91320.0, 91325.0, 
929, -1, BR, 5.0, 91310.0, 91315.0, 
929, -1, BR, 457.0, 90845.0, 91302.0, 
930, -1, BR, 6.0, 91344.0, 91350.0, 
932, -1, BR, 85.0, 92265.0, 92350.0, 
940, -1, BR, 5.0, 92411.0, 92416.0, 
940, -1, BR, 2.0, 92398.0, 92400.0, 
941, -1, BR, 106.0, 92437.0, 92543.0, 
944, 1, FR, 12.0, 92499.0, 92511.0, 
961, -1, BR, 14.0, 92993.0, 93007.0, 
979, -1, BR, 6.0, 95650.0, 95656.0, 
979, -1, BR, 140.0, 95502.0, 95642.0, 
979, -1, BR, 8.0, 95492.0, 95500.0, 
979, -1, BR, 2.0, 95486.0, 95488.0, 
984, -1, BR, 365.0, 96124.0, 96489.0, 
991, -1, BR, 29.0, 97625.0, 97654.0, 
994, -1, BR, 327.0, 98216.0, 98543.0, 
1017, -1, BR, 9.0, 98557.0, 98566.0, 
1022, -1, BR, 14.0, 98810.0, 98824.0, 
1022, -1, BR, 13.0, 98794.0, 98807.0, 
1022, -1, BR, 2.0, 98790.0, 98792.0, 
1027, 1, FR, 2.0, 99059.0, 99061.0, 
1076, -1, BR, 24.0, 105062.0, 105086.0, 
1084, 1, FR, 11.0, 105367.0, 105378.0, 
1106, -1, BR, 70.0, 107738.0, 107808.0, 
1110, 1, FR, 206.0, 33089.0, 33295.0, 
1110, 1, FR, 142.0, 32943.0, 33085.0, 
1111, 1, FR, 337.0, 40311.0, 40648.0, 
1111, 1, FR, 257.0, 40047.0, 40304.0, 
1111, 1, FR, 4.0, 40035.0, 40039.0, 
1112, -1, BR, 42.0, 19693.0, 19735.0, 
1113, 1, FR, 15.0, 40684.0, 40699.0, 
1113, 1, FR, 17.0, 40664.0, 40681.0, 
1114, 1, FR, 18.0, 100974.0, 100992.0, 
1115, -1, BR, 5.0, 49026.0, 49031.0, 
1115, -1, BR, 8.0, 49015.0, 49023.0, 
