Track_id, Transition_type_no, Transition_type_name, Time_in_channel_(frame), Time_entered_channel_(frame), Time_left_channel_(frame), 
16, 2, FT, 689.0, 131.0, 820.0, 
36, -1, BR, 193.0, 822.0, 1015.0, 
46, 1, FR, 100.0, 1014.0, 1114.0, 
47, -2, BT, 61.0, 1017.0, 1078.0, 
50, 1, FR, 5.0, 1080.0, 1085.0, 
51, 1, FR, 15.0, 1087.0, 1102.0, 
52, 1, FR, 4.0, 1104.0, 1108.0, 
55, 1, FR, 144.0, 1116.0, 1260.0, 
56, -1, BR, 16.0, 1116.0, 1132.0, 
58, -1, BR, 8.0, 1139.0, 1147.0, 
63, 2, FT, 114.0, 1265.0, 1379.0, 
69, 1, FR, 9.0, 1358.0, 1367.0, 
70, 1, FR, 61.0, 1369.0, 1430.0, 
72, -2, BT, 6.0, 1385.0, 1391.0, 
73, 2, FT, 5.0, 1395.0, 1400.0, 
76, -1, BR, 11.0, 1402.0, 1413.0, 
78, 1, FR, 4.0, 1407.0, 1411.0, 
81, -1, BR, 26.0, 1417.0, 1443.0, 
84, 1, FR, 8.0, 1634.0, 1642.0, 
84, 1, FR, 42.0, 1586.0, 1628.0, 
84, 1, FR, 53.0, 1530.0, 1583.0, 
84, 1, FR, 4.0, 1524.0, 1528.0, 
84, 1, FR, 94.0, 1428.0, 1522.0, 
87, 1, FR, 14.0, 1434.0, 1448.0, 
88, -1, BR, 17.0, 1445.0, 1462.0, 
89, 1, FR, 27.0, 1452.0, 1479.0, 
91, 1, FR, 57.0, 1459.0, 1516.0, 
95, -1, BR, 13.0, 1479.0, 1492.0, 
97, -1, BR, 23.0, 1495.0, 1518.0, 
100, 1, FR, 33.0, 1518.0, 1551.0, 
101, -1, BR, 44.0, 1520.0, 1564.0, 
120, -1, BR, 4.0, 1574.0, 1578.0, 
122, -1, BR, 9.0, 1580.0, 1589.0, 
124, -1, BR, 246.0, 1591.0, 1837.0, 
126, 1, FR, 11.0, 1598.0, 1609.0, 
130, -1, BR, 5.0, 1614.0, 1619.0, 
137, -1, BR, 5.0, 1634.0, 1639.0, 
141, -1, BR, 11.0, 1653.0, 1664.0, 
152, 1, FR, 11.0, 1729.0, 1740.0, 
153, 1, FR, 5.0, 1731.0, 1736.0, 
163, 1, FR, 50.0, 1785.0, 1835.0, 
163, 1, FR, 10.0, 1773.0, 1783.0, 
170, 1, FR, 7.0, 1809.0, 1816.0, 
173, -1, BR, 7.0, 1839.0, 1846.0, 
174, -1, BR, 5.0, 1849.0, 1854.0, 
177, -1, BR, 19.0, 1860.0, 1879.0, 
178, -1, BR, 16.0, 1881.0, 1897.0, 
179, -1, BR, 5.0, 1901.0, 1906.0, 
180, -1, BR, 13.0, 1908.0, 1921.0, 
186, -1, BR, 42.0, 1937.0, 1979.0, 
192, 1, FR, 61.0, 1988.0, 2049.0, 
194, -1, BR, 114.0, 1993.0, 2107.0, 
204, 1, FR, 191.0, 2251.0, 2442.0, 
204, 1, FR, 30.0, 2214.0, 2244.0, 
204, 1, FR, 103.0, 2108.0, 2211.0, 
204, 1, FR, 31.0, 2075.0, 2106.0, 
